"4001 South 700 East, Salt Lake City, UT 84107",
"1060 Dalton Ave S, Salt Lake City, UT 84104",
"1330 2100 S, Salt Lake City, UT 84106",
"1488 4800 S, Salt Lake City, UT 84123",
"177 W Price Ave, Salt Lake City, UT 84115",
"195 W Oakland Ave, Salt Lake City, UT 84115",
"2010 W 500 S, Salt Lake City, UT 84104",
"2300 Parkway Blvd, West Valley City, UT 84119",
"233 Canyon Rd, Salt Lake City, UT 84103",
"2530 S 500 E, Salt Lake City, UT 84106",
"2600 Taylorsville Blvd, Salt Lake City, UT 84118",
"2835 Main St, Salt Lake City, UT 84115",
"300 State St, Salt Lake City, UT 84103",
"3060 Lester St, West Valley City, UT 84119",
"3148 S 1100 W, Salt Lake City, UT 84119",
"3365 S 900 W, Salt Lake City, UT 84119",
"3575 W Valley Central Station bus Loop, West Valley City, UT 84119",
"3595 Main St, Salt Lake City, UT 84115",
"380 W 2880 S, Salt Lake City, UT 84115",
"410 S State St, Salt Lake City, UT 84111",
"4300 S 1300 E, Millcreek, UT 84117",
"4580 S 2300 E, Holladay, UT 84117",
"5025 State St, Murray, UT 84107",
"5100 South 2700 West, Salt Lake City, UT 84118",
"5383 South 900 East #104, Salt Lake City, UT 84117",
"600 E 900 South, Salt Lake City, UT 84105",
"6351 South 900 East, Murray, UT 84121",
